Model, depth, bn_train, bn_test, svm_train, svm_test, rf_train, rf_test, hm
dgi_singular_graph,1,0.7812105926860026, 0.8106796116504854, 1.0, 0.4854368932038835, 1.0, 0.7766990291262136,0.51
dgi_singular_graph,2,0.6368221941992434, 0.5800970873786407, 1.0, 0.5266990291262136, 1.0, 0.6092233009708737,0.51
dgi_singular_graph,3,0.564312736443884, 0.5606796116504854, 0.9640605296343001, 0.470873786407767, 1.0, 0.6140776699029126,0.51
dgi_singular_graph,1,0.6960907944514502, 0.6359223300970874, 1.0, 0.4854368932038835, 1.0, 0.6723300970873787,0.61
dgi_singular_graph,2,0.5756620428751577, 0.49029126213592233, 1.0, 0.5606796116504854, 1.0, 0.7063106796116505,0.61
dgi_singular_graph,3,0.6519546027742749, 0.5266990291262136, 0.967843631778058, 0.5194174757281553, 1.0, 0.6116504854368932,0.611
dgi_singular_graph,1,0.7547288776796973, 0.7451456310679612, 1.0, 0.4854368932038835, 1.0, 0.7087378640776699,0.73
dgi_singular_graph,2,0.8209331651954602, 0.7742718446601942, 1.0, 0.6529126213592233, 1.0, 0.837378640776699,0.73
dgi_singular_graph,3,0.9293820933165196, 0.9441747572815534, 0.980453972257251, 0.912621359223301, 0.9993694829760403, 0.8907766990291263,0.73
dgi_singular_graph,1,0.9621689785624212, 0.9538834951456311, 1.0, 0.4854368932038835, 1.0, 0.9368932038834952,0.87
dgi_singular_graph,2,0.8259773013871374, 0.7742718446601942, 1.0, 0.6529126213592233, 1.0, 0.7524271844660194,0.87
dgi_singular_graph,3,0.8940731399747793, 0.8859223300970874, 0.9930643127364439, 0.9368932038834952, 1.0, 0.8980582524271845,0.87
dgi_singular_graph,1,0.7452711223203027, 0.7087378640776699, 1.0, 0.4854368932038835, 1.0, 0.7451456310679612,0.98
dgi_singular_graph,2,0.8108448928121059, 0.8592233009708737, 1.0, 0.5485436893203883, 1.0, 0.8422330097087378,0.98
dgi_singular_graph,3,1.0, 0.9975728155339806, 1.0, 1.0, 1.0, 0.9975728155339806,0.98
